token           lexeme
------------------------------
Separator       @
Separator       @
Keyword         integer
Identifier      x
Separator       ;
Separator       @
Keyword         read
Separator       (
Identifier      x
Separator       )
Separator       ;
Keyword         if
Separator       (
Identifier      x
Operator        <
Integer         0
Separator       )
Keyword         write
Separator       (
Integer         0
Separator       )
Separator       ;
Keyword         otherwise
Keyword         write
Separator       (
Identifier      x
Separator       )
Separator       ;
Keyword         fi
Separator       @
